Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
magenta	5992329	Regulation of necroptotic cell death	1/7	16/7109	0.0156552628332111	0.0747886012420773	0.0439932948482807	Tradd	1
magenta	5991669	Endogenous sterols	1/7	17/7109	0.0166267013162461	0.0747886012420773	0.0439932948482807	Fdxr	1
magenta	5992330	RIPK1-mediated regulated necrosis	1/7	18/7109	0.0175973179393123	0.0747886012420773	0.0439932948482807	Tradd	1
magenta	5992331	Regulated Necrosis	1/7	18/7109	0.0175973179393123	0.0747886012420773	0.0439932948482807	Tradd	1
magenta	5992201	Mitochondrial biogenesis	1/7	22/7109	0.0214715774171711	0.0795728895632157	0.0468075820960092	Gabpa	1
magenta	5991128	Caspase activation via extrinsic apoptotic signalig pathway	1/7	24/7109	0.0234037910480046	0.0795728895632157	0.0468075820960092	Tradd	1
magenta	5991799	Laminin interactions	1/7	30/7109	0.0291808229529072	0.0813384073901914	0.0478461219942302	Lama3	1
magenta	5991674	Metabolism of steroid hormones and vitamin D	1/7	32/7109	0.0310999792962496	0.0813384073901914	0.0478461219942302	Fdxr	1
magenta	5991675	Steroid hormones	1/7	32/7109	0.0310999792962496	0.0813384073901914	0.0478461219942302	Fdxr	1
magenta	5992181	Assembly of collagen fibrils and other multimeric structures	1/7	40/7109	0.0387441225330974	0.0940928690089509	0.0553487464758535	Lama3	1
blue	5991053	Neuronal System	21/155	268/7109	2.90462632635499e-07	8.58648641792533e-05	6.97976747295677e-05	Kcnab3/Gria1/Adcy3/Grin2c/Hcn1/Adcy8/Gad2/Kcnj3/Slc6a1/Rasgrf1/Cplx1/Grip1/Kcnc2/Slc32a1/Kcnk3/Actn2/Abat/Kcnh7/Kcnc3/Kcnma1/Gad1	21
blue	5991146	Signalling by NGF	21/155	272/7109	3.72515679736457e-07	8.58648641792533e-05	6.97976747295677e-05	Pde1c/Kit/Dusp6/Egfr/Adcy3/Net1/Pcsk1/Adcy8/Dnal4/Pde1b/Nr4a1/Cdkn1a/Tiam2/Hbegf/Ngf/Arhgef2/Adcyap1r1/Fgf16/Arhgef1/Foxo3/Kalrn	21
blue	5991823	GABA synthesis, release, reuptake and degradation	6/155	19/7109	2.09280741146205e-06	0.000321594738894668	0.000261417346835259	Gad2/Slc6a1/Cplx1/Slc32a1/Abat/Gad1	6
