Area	Mean	Min	Max	IntDen	RawIntDen	adjusted.mean	mouse	slide	section	striatum	blank
39060	54.586	1	94	2132131	2132131	39.628	xim.935	3	3	2	no
39060	73.154	2	121	2857383	2857383	58.196	xim.935	3	3	2	no
39060	69.19	0	117	2702542	2702542	54.232	xim.935	3	3	2	no
39060	79.951	0	132	3122888	3122888	64.993	xim.935	3	3	2	no
39060	100.103	15	150	3910029	3910029	85.145	xim.935	3	3	2	no
13680	15.338	8	45	209820	209820	0	xim.935	1	2	1	yes
13680	74.749	7	114	1022563	1022563	59.411	xim.935	1	2	1	no
13680	76.019	22	115	1039940	1039940	60.681	xim.935	1	2	1	no
13680	68.213	8	108	933157	933157	52.875	xim.935	1	2	1	no
13680	66.395	19	105	908278	908278	51.057	xim.935	1	2	1	no
13680	74.02	20	119	1012590	1012590	58.682	xim.935	1	2	1	no
20700	15.157	6	38	313755	313755	0	xim.935	1	2	2	yes
20700	90.804	26	130	1879634	1879634	75.647	xim.935	1	2	2	no
20700	85.19	3	138	1763434	1763434	70.033	xim.935	1	2	2	no
20700	96.076	1	135	1988776	1988776	80.919	xim.935	1	2	2	no
20700	86.504	12	131	1790642	1790642	71.347	xim.935	1	2	2	no
20700	87.283	1	131	1806761	1806761	72.126	xim.935	1	2	2	no
10944	14.103	7	31	154341	154341	0	xim.935	2	1	1	yes
10944	65.459	1	129	716381	716381	51.356	xim.935	2	1	1	no
10944	69.698	1	134	762776	762776	55.595	xim.935	2	1	1	no
10944	103.677	9	144	1134645	1134645	89.574	xim.935	2	1	1	no
10944	85.963	1	135	940780	940780	71.86	xim.935	2	1	1	no
10944	109.673	7	155	1200260	1200260	95.57	xim.935	2	1	1	no
11628	14.689	9	29	170809	170809	0	xim.935	2	1	2	yes
11628	54.493	1	103	633647	633647	39.804	xim.935	2	1	2	no
11628	67.102	1	117	780260	780260	52.413	xim.935	2	1	2	no
11628	71.553	1	125	832021	832021	56.864	xim.935	2	1	2	no
11628	122.074	0	160	1419480	1419480	107.385	xim.935	2	1	2	no
11628	96.397	7	143	1120904	1120904	81.708	xim.935	2	1	2	no
16632	14.694	5	36	244391	244391	0	xim.935	3	1	1	yes
16632	68.924	0	132	1146336	1146336	54.23	xim.935	3	1	1	no
16632	85.544	1	140	1422774	1422774	70.85	xim.935	3	1	1	no
16632	104.896	3	151	1744623	1744623	90.202	xim.935	3	1	1	no
16632	111.597	9	155	1856083	1856083	96.903	xim.935	3	1	1	no
